facility_id,common_name,address,city,zip_code,block_lot,owned_leased,dept_id,department_name,gross_sq_ft,longitude,latitude,geom,supervisor_district,city_tenants
1900,Pier 29 1/2 - Bulkhead Building,1256 The Embarcadero,San Francisco,94133,9900501,Own,46,Port,52650,-122.4033856,37.80596845,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.805968447', 'longitude': '-122.403385555'}",3,
,,,,,,,,,,,,,,
60,47th Ave & Wawona St SFMTA Operator Bathroom,3559 Wawona St,San Francisco,94116,,Own,42,Municipal Transportation Agency,150,-122.5048713,37.73605959,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.736059587', 'longitude': '-122.504871283'}",4,
,,,,,,,,,,,,,,
1258,PHELAN LOOP   SFMTA Operator Bathroom,7 Phelan Ave,San Francisco,94112,3180001,Own,42,Municipal Transportation Agency,75,-122.452525,37.72357825,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.72357825', 'longitude': '-122.452524993'}",7,
,,,,,,,,,,,,,,
1294,Pier 96 - Exit Canopy,1000 Amador St,San Francisco,94124,4502A002,Own,46,Port,5950,-122.3777974,37.74383117,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.743831172', 'longitude': '-122.377797369'}",10,
,,,,,,,,,,,,,,
1039,LRV Station-Van Ness,1515 Market St,San Francisco,94103,,Own,42,Municipal Transportation Agency,18596,-122.4192707,37.77514766,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.775147656', 'longitude': '-122.419270681'}",5,
,,,,,,,,,,,,,,
1296,Pier 96 - Office/Restroom,1000 Amador St,San Francisco,94124,4502A002,Own,46,Port,1716,-122.3777974,37.74383117,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.743831172', 'longitude': '-122.377797369'}",10,
,,,,,,,,,,,,,,
